date,total_cost_B0,inventory_adjusted_cost_B0,emergency_cost_B0,emergency_kwh_B0,soc_start_B0,soc_end_B0,soc_min_B0,mean_price,total_cost_H3,inventory_adjusted_cost_H3,emergency_cost_H3,emergency_kwh_H3,soc_start_H3,soc_end_H3,soc_min_H3,adjusted_diff_H3_minus_B0,B0_top17,H3_top17
2025-07-16,60485.9830790000,60285.1489430000,351.5489130000,41.8510320000,1910.5512750000,2397.3563450000,1677.1001940000,0.8758020000,58990.2090230000,58891.5423640000,229.9474760000,27.3535330000,2102.0223180000,2341.1820090000,1636.9070190000,-1393.6065790000,False,False
2025-07-17,60936.5559100000,60729.9493340000,60.4097880000,7.1732810000,2397.3563450000,2898.1533230000,1737.4138660000,0.8748210000,62118.7921120000,62102.1016750000,4305.8620130000,504.0844270000,2341.1820090000,2381.6382250000,1200.0000000000,1372.1523410000,False,False
2025-07-18,24859.1244740000,25047.8766230000,0.0000000000,0.0000000000,2898.1533230000,2440.6339740000,1806.6324060000,0.6942030000,24323.7595300000,24364.5034600000,0.0000000000,0.0000000000,2381.6382250000,2282.8783630000,1657.7610970000,-683.3731630000,False,False
2025-07-19,25180.4154330000,25411.6165540000,0.0000000000,0.0000000000,2440.6339740000,1880.2218840000,1390.7952210000,0.6802990000,24771.0500110000,24931.8800760000,0.0000000000,0.0000000000,2282.8783630000,1893.0398000000,1456.1147760000,-479.7364780000,False,False
2025-07-20,60444.4967020000,60246.3398820000,0.0000000000,0.0000000000,1880.2218840000,2360.5373660000,1811.4817320000,0.8676120000,58222.1867280000,58039.1583270000,0.0000000000,0.0000000000,1893.0398000000,2336.6852640000,1817.6188110000,-2207.1815550000,False,False
2025-07-21,63075.1219360000,62877.0063370000,0.0000000000,0.0000000000,2360.5373660000,2840.7529290000,1964.8643600000,0.8791790000,61186.7776420000,61025.2417250000,0.0000000000,0.0000000000,2336.6852640000,2728.2347530000,1913.7753500000,-1851.7646120000,False,False
2025-07-22,63095.4250830000,63499.5960980000,991.6442170000,118.4687950000,2840.7529290000,1861.0763510000,1200.0000000000,0.8751330000,61717.7018420000,62049.1357200000,923.8973090000,109.0842950000,2728.2347530000,1924.8668820000,1200.0000000000,-1450.4603780000,False,False
2025-07-23,65842.9534690000,65756.5133140000,984.6236610000,116.5618860000,1861.0763510000,2070.6000240000,1319.7884660000,0.8755840000,63120.5664780000,62982.2011790000,226.7711460000,26.5027930000,1924.8668820000,2260.2527390000,1406.7160190000,-2774.3121350000,False,False
2025-07-24,67242.0317820000,66453.3096020000,0.0000000000,0.0000000000,2070.6000240000,3982.3963130000,2070.6000240000,0.8774460000,64392.4114630000,63808.1511330000,0.0000000000,0.0000000000,2260.2527390000,3676.4506840000,1825.3329900000,-2645.1584690000,False,False
2025-07-25,24806.0174830000,25155.1436690000,0.0000000000,0.0000000000,3982.3963130000,3136.1437740000,2149.3699630000,0.6769690000,23717.0855810000,24058.9913450000,0.0000000000,0.0000000000,3676.4506840000,2847.6998410000,1890.6018750000,-1096.1523240000,False,False
2025-07-26,25527.6990370000,25898.3560080000,935.0526600000,144.1981120000,3136.1437740000,2237.7024220000,1200.0000000000,0.6880090000,24280.8860910000,24557.9399990000,659.7172080000,101.7375600000,2847.6998410000,2176.1444470000,1200.0000000000,-1340.4160090000,False,False
2025-07-27,60732.3696060000,60781.9369450000,0.0000000000,0.0000000000,2237.7024220000,2117.5553570000,1308.8226490000,0.8771310000,60663.1320730000,60697.4888370000,454.5622260000,53.7402880000,2176.1444470000,2092.8665370000,1200.0000000000,-84.4481080000,False,False
2025-07-28,64124.6816810000,63911.9863450000,0.0000000000,0.0000000000,2117.5553570000,2633.1109790000,1997.4801330000,0.8862370000,62695.9795580000,62472.6708150000,0.0000000000,0.0000000000,2092.8665370000,2634.1481660000,1924.9908630000,-1439.3155300000,False,False
2025-07-29,66065.4231120000,66205.0788060000,1218.6148760000,142.0286690000,2633.1109790000,2294.5973120000,1239.0198210000,0.8846280000,63094.9345060000,63148.0884700000,76.2916680000,9.2245530000,2634.1481660000,2505.3074230000,1250.2466150000,-3056.9903360000,False,False
2025-07-30,64420.2103380000,64324.0955040000,0.0000000000,0.0000000000,2294.5973120000,2527.5715930000,1466.1663650000,0.8796970000,62990.5798490000,62740.6419390000,0.0000000000,0.0000000000,2505.3074230000,3111.1359150000,1490.2086820000,-1583.4535650000,False,False
2025-07-31,62243.7192910000,61435.4537140000,0.0000000000,0.0000000000,2527.5715930000,4486.7394360000,1809.5532190000,0.8814310000,61048.9858040000,60504.9905500000,0.0000000000,0.0000000000,3111.1359150000,4429.7347000000,1666.8325390000,-930.4631640000,False,False
