day,generation,best,mean
2025-08-09,44,38070.1397066788,42566.7078349636
2025-08-09,45,38070.1397066788,41874.5282026018
2025-08-09,46,36677.0069794125,41765.1245279092
2025-08-09,47,36677.0069794125,42113.9965716208
2025-08-09,48,36677.0069794125,41790.5346384056
2025-08-09,49,36677.0069794125,41590.2558290164
2025-08-09,50,36677.0069794125,40904.0612871895
2025-08-09,51,36677.0069794125,40538.3191652725
2025-08-09,52,36677.0069794125,40859.1372084313
2025-08-09,53,36568.5678350757,40164.6278431176
2025-08-09,54,36568.5678350757,40208.1377517824
2025-08-09,55,36275.3887155197,39990.1748478226
2025-08-09,56,36275.3887155197,39534.9428656978
2025-08-09,57,35937.9434759427,39372.0630308936
2025-08-09,58,34741.2366748116,38913.8007639711
2025-08-09,59,34741.2366748116,39217.1233722982
2025-08-09,60,34741.2366748116,38884.6162859059
2025-08-09,61,34741.2366748116,38728.8878995634
2025-08-09,62,34741.2366748116,38431.5079608052
2025-08-09,63,34741.2366748116,38702.3824751431
2025-08-09,64,34741.2366748116,38591.1789384316
2025-08-09,65,34741.2366748116,38370.0101306186
2025-08-09,66,34741.2366748116,38228.3257083567
2025-08-09,67,34464.9524175978,37701.8699056358
2025-08-09,68,34151.3361340760,37949.4681943140
2025-08-09,69,34151.3361340760,37448.3839066324
2025-08-09,70,34151.3361340760,37514.3052538155
2025-08-09,71,34151.3361340760,37475.2029478105
2025-08-09,72,34151.3361340760,37345.9273837934
2025-08-09,73,34151.3361340760,37676.2679903368
2025-08-09,74,34151.3361340760,38135.7204740509
2025-08-09,75,34151.3361340760,38142.7412788809
2025-08-09,76,34151.3361340760,38078.2198570909
2025-08-09,77,34115.0600230228,38064.2015272037
2025-08-09,78,34115.0600230228,38034.5114691043
2025-08-09,79,34115.0600230228,38153.9684331680
2025-08-09,80,34115.0600230228,37721.9182079643
2025-08-09,81,34115.0600230228,37525.7609412773
2025-08-09,82,34115.0600230228,37608.8402688928
2025-08-09,83,34115.0600230228,37295.8931848123
2025-08-09,84,34115.0600230228,37504.8763450416
2025-08-09,85,34115.0600230228,37365.8106217437
2025-08-09,86,34041.7942708027,37134.5798617614
2025-08-09,87,34037.4745096843,37382.4301594007
2025-08-09,88,34037.4745096843,37383.2812630795
2025-08-09,89,34032.1242238569,37165.3750570969
2025-08-09,90,33850.7615721216,36661.3314384757
2025-08-09,91,33850.7615721216,36693.3234611666
2025-08-09,92,33850.7615721216,36721.7290326783
2025-08-09,93,33850.7615721216,36512.2440338648
2025-08-09,94,33850.7615721216,36765.2199788682
2025-08-09,95,33850.7615721216,36909.0702078229
2025-08-09,96,33850.7615721216,37186.7435184442
2025-08-09,97,33850.7615721216,37128.8366910176
2025-08-09,98,33829.3385244762,37495.8826684951
2025-08-09,99,33829.3385244762,37633.1620619209
2025-08-09,100,33607.5891357559,37676.4430498051
2025-08-09,101,33607.5891357559,37833.7273822030
2025-08-09,102,33607.5891357559,37534.0624423050
2025-08-09,103,33607.5891357559,37359.9316226721
2025-08-09,104,33607.5891357559,37314.4221369833
2025-08-09,105,33607.5891357559,37626.6863472267
2025-08-09,106,33607.5891357559,37477.0097199676
2025-08-09,107,33607.5891357559,37922.2340403489
2025-08-09,108,33607.5891357559,37755.8206352931
2025-08-09,109,33607.5891357559,37677.5235149747
2025-08-09,110,33607.5891357559,37582.0222660151
2025-08-09,111,33607.5891357559,37557.3179979236
2025-08-09,112,33607.5891357559,37563.4835997159
2025-08-09,113,33607.5891357559,37535.1820505957
2025-08-09,114,33607.5891357559,37302.2784185191
2025-08-09,115,33607.5891357559,37060.7979586012
2025-08-09,116,33607.5891357559,37156.7489680600
2025-08-09,117,33607.5891357559,36851.3810051370
2025-08-09,118,33607.5891357559,36982.7254669994
2025-08-09,119,33607.5891357559,37201.1285625359
2025-09-14,0,90890.7760496543,100938.7096051122
2025-09-14,1,88148.8934884367,98660.8590668212
2025-09-14,2,88148.8934884367,96133.9763948840
2025-09-14,3,85969.6227223873,93040.7015359045
2025-09-14,4,85969.6227223873,91426.3970110057
2025-09-14,5,85344.6648884968,89953.7879379794
2025-09-14,6,81192.7011823175,88442.1473076418
2025-09-14,7,80194.5235639710,87263.6523175294
2025-09-14,8,77965.2844798722,85668.4484277498
2025-09-14,9,77965.2844798722,84666.5002040046
2025-09-14,10,76658.1070536089,82617.1104202286
2025-09-14,11,71205.5668678303,81255.7153938359
2025-09-14,12,71205.5668678303,80145.8911048187
2025-09-14,13,71205.5668678303,78323.8282330274
2025-09-14,14,71205.5668678303,76935.9820737508
2025-09-14,15,67582.0234404651,75226.7671008754
2025-09-14,16,67582.0234404651,73921.9665974001
2025-09-14,17,67142.3241141253,72739.2848529624
2025-09-14,18,67142.3241141253,72236.9613003451
2025-09-14,19,67142.3241141253,71319.9590161471
2025-09-14,20,65134.8634720109,70558.3401090615
2025-09-14,21,65134.8634720109,69736.3953438466
2025-09-14,22,63513.8102241640,69279.5354566385
2025-09-14,23,63513.8102241640,68837.1636552663
2025-09-14,24,63364.3241529435,68082.9176736879
2025-09-14,25,62702.2303858361,67691.8768557107
2025-09-14,26,61182.6141212825,67243.3973683655
2025-09-14,27,61182.6141212825,66318.3326946990
2025-09-14,28,61182.6141212825,65514.0860298838
2025-09-14,29,59752.7629003755,65649.0613560144
2025-09-14,30,59752.7629003755,65145.1876376863
2025-09-14,31,59752.7629003755,64867.0460408652
2025-09-14,32,59752.7629003755,64580.1442927140
2025-09-14,33,59752.7629003755,63965.9429281633
2025-09-14,34,59752.7629003755,63183.4497183306
2025-09-14,35,58654.2571082857,63290.6372042913
2025-09-14,36,58654.2571082857,63261.9172934003
2025-09-14,37,58305.9708119357,63066.2809632028
2025-09-14,38,58305.9708119357,62572.9229024013
2025-09-14,39,58132.1507657542,62543.8385213383
2025-09-14,40,57858.1796351578,62042.8289860616
2025-09-14,41,57010.9726680791,61382.1947543915
2025-09-14,42,56961.2604401985,61576.1350390208
2025-09-14,43,56961.2604401985,61275.3910979668
2025-09-14,44,56205.0789587627,60177.9551813262
2025-09-14,45,55843.1647331663,59948.8793575850
2025-09-14,46,55843.1647331663,59903.8446846690
2025-09-14,47,55843.1647331663,60144.0958439665
2025-09-14,48,55843.1647331663,59908.1365526171
2025-09-14,49,54612.7924524112,60331.1724592822
2025-09-14,50,54612.7924524112,60360.5726627391
2025-09-14,51,54612.7924524112,59205.3483842076
2025-09-14,52,54612.7924524112,59257.0659833669
2025-09-14,53,54612.7924524112,59379.5975961872
2025-09-14,54,54612.7924524112,59617.9916324587
2025-09-14,55,54289.3911171557,59619.7120992549
2025-09-14,56,54289.3911171557,59987.9300006890
2025-09-14,57,54289.3911171557,59551.5659058009
2025-09-14,58,54289.3911171557,59593.6176242163
2025-09-14,59,54289.3911171557,60068.3916543760
2025-09-14,60,54289.3911171557,58804.1695954691
2025-09-14,61,54289.3911171557,59200.0496359200
2025-09-14,62,54289.3911171557,58442.7544158115
2025-09-14,63,54289.3911171557,58792.5679600348
2025-09-14,64,54289.3911171557,58315.6110941349
2025-09-14,65,53253.1560764501,57711.8050103328
2025-09-14,66,53253.1560764501,57952.9012724528
2025-09-14,67,53253.1560764501,57879.2789966546
2025-09-14,68,53253.1560764501,58361.7085371620
2025-09-14,69,53253.1560764501,58960.5947902745
2025-09-14,70,53253.1560764501,57531.5248864129
2025-09-14,71,53253.1560764501,58042.3273429997
2025-09-14,72,53253.1560764501,57167.5486135005
2025-09-14,73,53253.1560764501,56914.9459706772
2025-09-14,74,53253.1560764501,56855.7662484420
2025-09-14,75,53253.1560764501,56673.8031954955
2025-09-14,76,53253.1560764501,57111.5455825608
2025-09-14,77,53253.1560764501,57287.4018781790
2025-09-14,78,53253.1560764501,57105.6301241673
2025-09-14,79,53253.1560764501,57274.0157857887
2025-09-14,80,53253.1560764501,57046.0398939548
2025-09-14,81,53253.1560764501,56662.3770126486
2025-09-14,82,53253.1560764501,56889.3881553087
2025-09-14,83,53253.1560764501,57157.6632352757
2025-09-14,84,53253.1560764501,57329.5012450248
2025-09-14,85,53044.2887599967,56572.6409849213
2025-09-14,86,53044.2887599967,56361.1912944669
2025-09-14,87,53044.2887599967,56493.0090356633
2025-09-14,88,53044.2887599967,56649.6421830954
2025-09-14,89,52965.4040297491,56507.7474779825
2025-09-14,90,52965.4040297491,56351.7523431227
2025-09-14,91,52965.4040297491,56481.1368393492
2025-09-14,92,52965.4040297491,56541.4844249555
2025-09-14,93,52916.6962082199,56609.0885383115
2025-09-14,94,52916.6962082199,56456.6631202539
2025-09-14,95,52916.6962082199,56490.9059249131
2025-09-14,96,52916.6962082199,56575.6777937273
2025-09-14,97,52916.6962082199,56430.9074612664
2025-09-14,98,52916.6962082199,56924.2457943868
2025-09-14,99,52916.6962082199,57378.2545467737
2025-09-14,100,52916.6962082199,57258.3100699543
2025-09-14,101,52916.6962082199,57291.6020119266
2025-09-14,102,52916.6962082199,57489.7826722526
2025-09-14,103,52916.6962082199,57116.3163494632
2025-09-14,104,52916.6962082199,57355.7867413550
2025-09-14,105,52916.6962082199,57297.5879834273
2025-09-14,106,52916.6962082199,56822.9920820430
2025-09-14,107,52916.6962082199,56682.1586581528
2025-09-14,108,52916.6962082199,57078.0826393514
2025-09-14,109,52916.6962082199,56770.4315809572
2025-09-14,110,52916.6962082199,56726.0709003291
2025-09-14,111,52916.6962082199,56789.4344491608
2025-09-14,112,52916.6962082199,56568.2544843886
2025-09-14,113,52916.6962082199,56237.9931921790
2025-09-14,114,52916.6962082199,56115.0718182498
2025-09-14,115,52643.0060860952,56437.8382521772
2025-09-14,116,52643.0060860952,56598.5082663704
2025-09-14,117,52643.0060860952,56896.1969847385
2025-09-14,118,52643.0060860952,57134.6826381625
2025-09-14,119,52643.0060860952,56741.5709574048
2025-10-20,0,83232.6904600601,97898.2715739435
2025-10-20,1,82593.4049037874,94648.8328165242
2025-10-20,2,80756.0525754637,92296.0692873380
2025-10-20,3,80756.0525754637,89363.7143535728
2025-10-20,4,79786.4992345510,86820.5949083211
2025-10-20,5,78231.6237094950,84542.8093767763
2025-10-20,6,76404.1916135715,82882.8166543983
2025-10-20,7,75149.9729280721,81067.7143596908
2025-10-20,8,75149.9729280721,80376.7067872654
2025-10-20,9,74047.0947984454,79150.4548625655
2025-10-20,10,72035.7969132930,78152.8361050625
2025-10-20,11,69341.9851214284,76546.0421103417
2025-10-20,12,68811.4867710328,74949.0481428710
2025-10-20,13,68339.0681029647,73217.0820117967
2025-10-20,14,65582.2913773430,72520.6897205334
2025-10-20,15,64938.2020535811,70827.1609576549
2025-10-20,16,64938.2020535811,69911.2431732776
2025-10-20,17,64020.8435546328,69282.8279774171
2025-10-20,18,64020.8435546328,68372.6006916204
2025-10-20,19,61221.6824881740,67098.5025214950
2025-10-20,20,61221.6824881740,66463.8519097302
2025-10-20,21,61221.6824881740,65590.8441758595
2025-10-20,22,60021.8205686080,64992.6063122910
2025-10-20,23,59981.9877546107,64252.5014765784
2025-10-20,24,59981.9877546107,63783.7528014229
2025-10-20,25,59424.5819522408,62590.3493366203
2025-10-20,26,58751.4725830724,62424.7697814275
2025-10-20,27,56784.5586692058,62118.7775181114
2025-10-20,28,56784.5586692058,61686.0073050837
2025-10-20,29,56187.8413352781,61077.6432523659
2025-10-20,30,55633.5245933095,59822.6845722231
2025-10-20,31,55633.5245933095,59579.0568086120
2025-10-20,32,54570.1143872443,59239.4226398439
2025-10-20,33,54570.1143872443,59095.4762158141
2025-10-20,34,54570.1143872443,58996.7179001064
2025-10-20,35,53982.5117490387,58491.2791545701
2025-10-20,36,53317.8582834845,58705.8280527276
2025-10-20,37,53317.8582834845,58828.8603064455
2025-10-20,38,53317.8582834845,58652.0054204428
2025-10-20,39,53317.8582834845,58138.4255829306
2025-10-20,40,53317.8582834845,57539.5632371600
2025-10-20,41,53317.8582834845,58024.3565044892
2025-10-20,42,53317.8582834845,57892.1959024641
2025-10-20,43,53317.8582834845,57439.9358519902
2025-10-20,44,53317.8582834845,57681.5263839241
2025-10-20,45,52438.1421976746,57779.2666099307
2025-10-20,46,52438.1421976746,58093.7683879592
2025-10-20,47,52438.1421976746,58130.9408581299
2025-10-20,48,52438.1421976746,57458.0342618507
2025-10-20,49,52438.1421976746,58221.4808925504
2025-10-20,50,52438.1421976746,57752.1827570381
2025-10-20,51,52142.2040756539,57094.4427222709
2025-10-20,52,52142.2040756539,57219.5407358490
2025-10-20,53,52142.2040756539,57054.3708906237
2025-10-20,54,51745.6850598785,56691.2876697649
2025-10-20,55,51745.6850598785,57200.4022847267
2025-10-20,56,51508.0719374161,57159.2005452491
2025-10-20,57,51508.0719374161,57126.8680933591
2025-10-20,58,51508.0719374161,56888.4870300890
2025-10-20,59,51508.0719374161,57416.9217960409
2025-10-20,60,51508.0719374161,56610.2739381094
2025-10-20,61,51508.0719374161,57207.3988467837
2025-10-20,62,51508.0719374161,57062.9138801339
2025-10-20,63,51508.0719374161,56693.6199442184
2025-10-20,64,51508.0719374161,56367.7443826292
2025-10-20,65,51508.0719374161,55625.6706706726
2025-10-20,66,51508.0719374161,55554.5707032409
2025-10-20,67,51508.0719374161,55843.5457162287
2025-10-20,68,51508.0719374161,55582.6354376199
2025-10-20,69,51508.0719374161,55922.5516909004
2025-10-20,70,51508.0719374161,55888.4663886916
2025-10-20,71,51508.0719374161,56148.4086552614
2025-10-20,72,51508.0719374161,55554.7871660052
2025-10-20,73,50592.8719709582,55598.7839080981
2025-10-20,74,50592.8719709582,56166.1197380561
2025-10-20,75,50592.8719709582,56056.5161197193
2025-10-20,76,50592.8719709582,55860.2887728423
2025-10-20,77,50592.8719709582,55659.2032259055
2025-10-20,78,50592.8719709582,56197.9772922046
2025-10-20,79,50592.8719709582,55381.8666290419
2025-10-20,80,50592.8719709582,55456.2675205130
2025-10-20,81,50592.8719709582,55350.5543182847
2025-10-20,82,50592.8719709582,55394.3382373403
2025-10-20,83,50592.8719709582,55500.7735642661
2025-10-20,84,50592.8719709582,54816.7099390534
2025-10-20,85,50341.8678036620,54523.2074555730
2025-10-20,86,50341.8678036620,54589.7697616467
2025-10-20,87,50341.8678036620,54883.2849246987
2025-10-20,88,50341.8678036620,54384.1197810981
2025-10-20,89,50341.8678036620,54475.5693781338
2025-10-20,90,50341.8678036620,53849.7414450323
2025-10-20,91,50341.8678036620,53761.1423399474
2025-10-20,92,50341.8678036620,54102.0393177959
2025-10-20,93,50341.8678036620,54770.0823425846
2025-10-20,94,50341.8678036620,54437.5448276688
2025-10-20,95,50341.8678036620,54055.2525714249
2025-10-20,96,50341.8678036620,54208.1599640455
