method,seed,period,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,emergency_slot_frequency,emergency_day_frequency,emergency_event_count,oracle_cost_yuan,regret_vs_oracle,saving_vs_manual
LSTM,2026,development_184,7215793.532376122,785826.9276124043,8001620.459988525,11795267.967560817,201924.04603523546,1967772.824410059,0.20633303140096618,0.9619565217391305,1970,6524805.094516614,0.2263386176413167,-0.0019165230281972256
LSTM,2026,holdout_61,2884967.249465767,160032.8925958097,3045000.1420615762,4672411.991839359,43073.927059002795,293087.7866790765,0.20981329690346084,1.0,777,2727592.149467768,0.11636930127392531,0.007515532221975207
LSTM,2027,full_334,13489337.933362944,1183605.852096454,14672943.7854594,22143596.94606321,309122.07718603563,3183660.781765354,0.19772954091816367,0.9790419161676647,3764,12245046.91527763,0.19827583242270674,-0.003887312659222486
LSTM,2027,cost_common_245,10114150.158917166,975293.9573137161,11089444.116230883,16491740.597265959,252335.35699102184,2291567.6927256593,0.21023242630385489,0.9714285714285714,2754,9252397.243984384,0.19854820581129795,-0.003172625002587637
LSTM,2027,development_184,7237959.813191443,817462.450772333,8055422.263963776,11830042.045093494,210056.34940343682,2009774.1229363903,0.20686141304347827,0.9619565217391305,1936,6524805.094516614,0.23458435114536647,-0.008653272995416517
LSTM,2027,holdout_61,2876190.345725723,157831.50654138334,3034021.8522671056,4661698.552172466,42279.00758758499,281793.56978926895,0.2204007285974499,1.0,818,2727592.149467768,0.1123443997516751,0.011093785619494367
LSTM,2028,full_334,13535997.696490325,1217690.5684839739,14753688.264974296,22207310.736192413,318864.6703896286,3256371.439624436,0.1988730871590153,0.9730538922155688,3710,12245046.91527763,0.20486988470144119,-0.009411654586614304
LSTM,2028,cost_common_245,10160014.76584502,1008882.500760826,11168897.266605847,16555899.834405582,262290.238645944,2364643.498248047,0.21043083900226758,0.963265306122449,2686,9252397.243984384,0.20713551008280695,-0.010360111101166414
LSTM,2028,development_184,7267670.454155111,853021.4868558231,8120691.941010933,11873668.357986264,220480.21216346705,2062587.816962645,0.20723882850241546,0.9510869565217391,1879,6524805.094516614,0.24458766558950362,-0.01682596354144561
LSTM,2028,holdout_61,2892344.311689909,155861.013905003,3048205.325594912,4682231.476419318,41810.02648247695,302055.68128540204,0.2200591985428051,1.0,807,2727592.149467768,0.11754439760713664,0.006470837731071266
LightGBM,2026,full_334,13524749.685113695,1055700.472405869,14580450.157519562,22184429.026671104,280769.1130640589,3199460.0461720624,0.19652361942781105,0.9910179640718563,3945,12245046.91527763,0.19072227802803665,0.0024408775763756774
LightGBM,2026,cost_common_245,10230312.170083955,784937.6457901893,11015249.81587414,16641219.460488524,208899.4907756918,2397513.6843816834,0.19674036281179139,0.9877551020408163,2791,9252397.243984384,0.19052927856463442,0.0035391353227263167
LightGBM,2026,development_184,7298179.31489712,653492.0209588159,7951671.335855936,11906175.20641543,172555.77242297417,2048125.3373209862,0.19957729468599034,0.9836956521739131,2040,6524805.094516614,0.21868335079287604,0.004337816705794473
LightGBM,2026,holdout_61,2932132.8551868335,131445.62483137345,3063578.480018207,4735044.2540730955,36343.718352717646,349388.34706069715,0.18818306010928962,1.0,751,2727592.149467768,0.12318056077995365,0.0014601263110239904
MLP,2026,full_334,13493018.467010677,1001109.152317133,14494127.61932781,22153573.737951554,267025.6960221661,3151198.9117302,0.1932593147039255,0.9910179640718563,3956,12245046.91527763,0.18367268983217167,0.008346856782342371
MLP,2026,cost_common_245,10230998.737022001,654015.9434277182,10885014.680449717,16663267.383093499,176035.02899456298,2381605.786594498,0.18083900226757368,0.9877551020408163,2770,9252397.243984384,0.17645345237709154,0.015320458290941197
MLP,2026,development_184,7314301.853638994,535027.6259265087,7849329.479565501,11942116.324663598,142971.0690759202,2050334.0248373807,0.18115942028985507,0.9836956521739131,1986,6524805.094516614,0.20299830659493634,0.017152470603401415
MLP,2026,holdout_61,2916696.8833830087,118988.3175012094,3035685.200884218,4721151.058429905,33063.9599186428,331271.76175711676,0.17987249544626593,1.0,784,2727592.149467768,0.11295422282124101,0.010551635343643673
MLP,2027,full_334,13502602.117479865,990159.9170802671,14492762.034560133,22166759.402456976,263171.0650529951,3160237.186043407,0.1923236859614105,0.9910179640718563,3932,12245046.91527763,0.18356116843277448,0.0084402867881187
MLP,2027,cost_common_245,10237700.6909705,656939.4358418348,10894640.126812335,16674064.833574057,175292.80863739114,2391172.1709487215,0.18083900226757368,0.9877551020408163,2751,9252397.243984384,0.17749377156235746,0.014449721742453958
MLP,2027,development_184,7326238.388741507,535177.0117190001,7861415.400460508,11960345.434077851,142126.1599791728,2067059.6432236047,0.18032910628019325,0.9836956521739131,1974,6524805.094516614,0.20485061033733687,0.015639141659437028
MLP,2027,holdout_61,2911462.302228992,121762.42412283462,3033224.726351827,4713719.399496205,33166.64865821831,324112.5277251167,0.18237704918032788,1.0,777,2727592.149467768,0.11205215447760275,0.01135360008677433
MLP,2028,full_334,13503488.026153766,999013.098651194,14502501.12480496,22163901.18359131,265971.98079278937,3161563.75149622,0.19444444444444445,0.9940119760479041,3952,12245046.91527763,0.18435651779421103,0.007773961797266193
MLP,2028,cost_common_245,10242474.63980117,656699.6451395279,10899174.284940697,16679233.762386367,175022.4254826829,2397270.9073786233,0.18109410430839,0.9918367346938776,2739,9252397.243984384,0.17798382381679456,0.014039553003233896
MLP,2028,development_184,7326776.369313612,536359.0567640886,7863135.426077701,11960297.463246673,142023.2858499915,2068107.4623432602,0.18051781400966183,0.9891304347826086,1960,6524805.094516614,0.20511422367019172,0.015423770023839545
MLP,2028,holdout_61,2915698.270487559,120340.5883754394,3036038.858862998,4718936.299139692,32999.139632691404,329163.4450353633,0.18283242258652094,1.0,779,2727592.149467768,0.11308388222755972,0.010436364396363085
ManualWeekly,0,full_334,13547154.319914218,1068972.012623909,14616126.332538128,22220309.83569002,282725.58978864655,3233214.646283269,0.19072272122421824,0.9820359281437125,3736,12245046.91527763,0.1936357968789979,0.0
ManualWeekly,0,cost_common_245,10249728.030855492,804644.7060423903,11054372.736897878,16677331.608752891,212089.69433912286,2433109.616420322,0.19095804988662132,0.9755102040816327,2616,9252397.243984384,0.1947576876992696,0.0
ManualWeekly,0,development_184,7324816.265598633,661498.2387319154,7986314.504330549,11944809.350472622,173216.7580817419,2084653.9173386286,0.18863224637681159,0.967391304347826,1864,6524805.094516614,0.22399280723989357,0.0
ManualWeekly,0,holdout_61,2924911.7652568566,143146.46731047492,3068058.232567332,4732522.258280267,38872.936257380956,348455.6990816932,0.1979735883424408,1.0,752,2727592.149467768,0.12482294435625163,0.0
Ridge,2026,full_334,13453123.815202734,1007543.6261491538,14460667.441351887,22088986.057086505,267192.1043946597,3089531.4367110096,0.19273952095808383,0.9970059880239521,3967,12245046.91527763,0.18094014187156127,0.010636121202658333
Ridge,2026,cost_common_245,10165399.231035054,726724.2026627527,10892123.433697805,16562818.412748791,191703.12954766228,2301018.281555958,0.1901077097505669,0.9959183673469387,2837,9252397.243984384,0.17722176712413829,0.014677386683236149
Ridge,2026,development_184,7240798.943905931,610846.0096607109,7851644.9535666425,11832385.579999901,160256.82750652282,1961712.7264114907,0.19384057971014493,0.9945652173913043,2061,6524805.094516614,0.2033531791110652,0.016862540373395407
