origin,grid_size,iteration,weekday,support_violation,own_cut_error,dual_max,dual_min,history_min_day,history_max_day
2025-09-01,17,1,2,2.1827872842550278e-11,0.0,-0.384479991,-0.47900001111111107,161,238
2025-09-01,17,1,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,160,237
2025-09-01,17,1,0,1.4551915228366852e-11,0.0,-0.384479991,-0.47900001111111107,159,236
2025-09-01,17,2,6,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,165,235
2025-09-01,17,2,5,0.0,3.637978807091713e-12,-0.382319991,-0.47433334444444447,164,241
2025-09-01,17,2,4,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.47455556666666665,163,240
2025-09-01,17,2,3,7.275957614183426e-12,7.275957614183426e-12,-0.38231999099999997,-0.47900001111111107,162,239
2025-09-01,17,2,2,2.1827872842550278e-11,0.0,-0.384479991,-0.47900001111111107,161,238
2025-09-01,17,2,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,160,237
2025-09-01,17,2,0,1.4551915228366852e-11,0.0,-0.384479991,-0.47900001111111107,159,236
2025-10-01,17,1,6,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,193,270
2025-10-01,17,1,5,3.637978807091713e-12,0.0,-0.38231999099999997,-0.4745555666666667,192,269
2025-10-01,17,1,4,0.0,3.637978807091713e-12,-0.38231999099999997,-0.47455556666666665,191,268
2025-10-01,17,1,3,1.4551915228366852e-11,0.0,-0.382319991,-0.47900001111111107,190,267
2025-10-01,17,1,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,189,266
2025-10-01,17,1,1,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,195,265
2025-10-01,17,1,0,1.4551915228366852e-11,0.0,-0.38447999099999997,-0.47900001111111107,194,271
2025-10-01,17,2,6,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,193,270
2025-10-01,17,2,5,3.637978807091713e-12,0.0,-0.38231999099999997,-0.4745555666666667,192,269
2025-10-01,17,2,4,0.0,3.637978807091713e-12,-0.38231999099999997,-0.47455556666666665,191,268
2025-10-01,17,2,3,1.4551915228366852e-11,0.0,-0.382319991,-0.47900001111111107,190,267
2025-10-01,17,2,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,189,266
2025-10-01,17,2,1,1.4551915228366852e-11,0.0,-0.38231999099999997,-0.47900001111111107,195,265
2025-10-01,17,2,0,1.4551915228366852e-11,0.0,-0.38447999099999997,-0.47900001111111107,194,271
