grid_size,month,weekday,soc,relative_future_cost
9,3,6,5550.0,213.95000499999833
9,3,6,5700.0,142.63333666666495
9,3,6,5850.0,71.31666833333156
9,3,6,6000.0,-1.3642420526593924e-12
9,3,6,6150.0,-71.31666833333475
9,3,6,6300.0,-142.63333666666813
9,3,6,6450.0,-213.90000500000997
9,3,6,6600.0,-285.0833400000097
9,3,6,6750.0,-356.26667500000985
9,3,6,6900.0,-427.45001000001
9,3,6,7050.0,-498.63334500000974
9,3,6,7200.0,-569.8166800000099
9,3,6,7350.0,-641.0000150000096
9,3,6,7500.0,-712.1833500000098
9,3,6,7650.0,-783.36668500001
9,3,6,7800.0,-854.5500200000097
9,3,6,7950.0,-925.7000216666875
9,3,6,8100.0,-996.8500233333543
9,3,6,8250.0,-1068.0000250000207
9,3,6,8400.0,-1139.1500266666876
9,3,6,8550.0,-1210.300028333354
9,3,6,8700.0,-1281.300030000024
9,3,6,8850.0,-1352.0500316666903
9,3,6,9000.0,-1422.8000333333575
9,3,6,9150.0,-1493.5500350000239
9,3,6,9300.0,-1564.3000366666902
9,3,6,9450.0,-1635.0500383333574
9,3,6,9600.0,-1705.8000400000237
9,3,6,9750.0,-1776.550041666691
9,3,6,9900.0,-1847.3000433333573
9,3,6,10050.0,-1918.0500450000236
9,3,6,10200.0,-1988.8000466666908
9,3,6,10350.0,-2055.422724050034
9,3,6,10500.0,-2112.7707227000337
9,3,6,10650.0,-2170.118721350034
9,3,6,10800.0,-2227.466720000034
9,3,5,1200.0,2292.3500533333245
9,3,5,1350.0,2220.500051666658
9,3,5,1500.0,2148.650049999991
9,3,5,1650.0,2076.8000483333244
9,3,5,1800.0,2004.9500466666582
9,3,5,1950.0,1933.1000449999915
9,3,5,2100.0,1861.2500433333248
9,3,5,2250.0,1789.4000416666581
9,3,5,2400.0,1717.5500399999914
9,3,5,2550.0,1645.7000383333248
9,3,5,2700.0,1573.933370000001
9,3,5,2850.0,1502.2500350000012
9,3,5,3000.0,1430.5667000000012
9,3,5,3150.0,1358.883365000001
9,3,5,3300.0,1287.200030000001
9,3,5,3450.0,1215.5166950000012
9,3,5,3600.0,1143.8333600000012
9,3,5,3750.0,1072.1500250000013
9,3,5,3900.0,1000.4666900000011
9,3,5,4050.0,928.7833550000012
9,3,5,4200.0,857.2333533333322
9,3,5,4350.0,785.6833516666652
9,3,5,4500.0,714.1333499999987
9,3,5,4650.0,642.5833483333322
9,3,5,4800.0,571.0333466666652
9,3,5,4950.0,499.48334499999874
9,3,5,5100.0,427.93334333333223
9,3,5,5250.0,356.5833416666651
9,3,5,5400.0,285.2666733333317
9,3,5,5550.0,213.95000499999833
9,3,5,5700.0,142.63333666666495
9,3,5,5850.0,71.31666833333156
9,3,5,6000.0,-1.3642420526593924e-12
9,3,5,6150.0,-71.31666833333475
9,3,5,6300.0,-142.63333666666813
9,3,5,6450.0,-213.90000499999178
9,3,5,6600.0,-285.0833399999915
9,3,5,6750.0,-356.26667499999166
9,3,5,6900.0,-427.45000999999183
9,3,5,7050.0,-498.63334499999155
9,3,5,7200.0,-569.8166799999917
9,3,5,7350.0,-641.0000149999914
9,3,5,7500.0,-712.1833499999916
9,3,5,7650.0,-783.3666849999918
9,3,5,7800.0,-854.5500199999915
9,3,5,7950.0,-925.7000216666584
9,3,5,8100.0,-996.8500233333252
9,3,5,8250.0,-1068.0000249999916
9,3,5,8400.0,-1139.1500266666585
9,3,5,8550.0,-1210.300028333325
9,3,5,8700.0,-1281.3000299999912
9,3,5,8850.0,-1352.0500316666576
9,3,5,9000.0,-1422.8000333333248
9,3,5,9150.0,-1493.550034999991
9,3,5,9300.0,-1564.3000366666574
9,3,5,9450.0,-1635.0500383333247
9,3,5,9600.0,-1705.800039999991
9,3,5,9750.0,-1776.5500416666582
9,3,5,9900.0,-1847.3000433333245
9,3,5,10050.0,-1918.0500449999909
9,3,5,10200.0,-1988.800046666658
9,3,5,10350.0,-2054.4507240499893
9,3,5,10500.0,-2112.1227226999895
9,3,5,10650.0,-2169.7947213499892
9,3,5,10800.0,-2227.4667199999894
9,3,4,1200.0,2292.3500533333245
9,3,4,1350.0,2220.500051666658
9,3,4,1500.0,2148.650049999991
