day,date,beta,budget_index,risk_reduction_fraction,risk_budget,scenario_expected,scenario_cvar,risk_multiplier,effective_tail_n,n_scenarios,max_history_day,solve_seconds,planned_cost,emergency_cost,total_cost,adjusted_cost,planned_kwh,emergency_kwh,spill_kwh,emergency_slots,emergency_day,events,initial_soc,terminal_soc,balance_residual,soc_residual
190,2025-07-10,0.95,3,0.75,73088.61200377309,63964.64719507122,73088.61201377312,0.4662315212207915,1.8666666666666687,42,189,0.2620985060000294,62511.61248061918,0.0,62511.61248061918,62078.909911890725,96310.27746211312,0.0,19044.281346308206,0,0,0,7902.5777599715,8951.41242696748,1.1368683772161603e-13,9.094947017729282e-13
190,2025-07-10,0.95,4,1.0,69339.36629350425,68360.93917091806,69339.36630350424,32.149342438037436,1.8666666666666687,42,189,0.30623433699997804,68037.9730166076,0.0,68037.9730166076,67412.43043433616,104122.41530908208,0.0,26574.428401906498,0,0,0,7902.5777599715,9418.840415625435,1.1368683772161603e-13,8.739675649849232e-13
191,2025-07-11,0.9,0,0.0,44133.76212680911,31565.679331283493,44133.76212680911,0.0,3.7333333333333334,42,190,0.0893619599999056,28833.86721099513,0.0,28833.86721099513,28714.13138701675,47230.38717078934,0.0,11368.218201512698,0,0,0,7694.6987203983,7984.928296429922,1.4210854715202004e-14,9.094947017729282e-13
191,2025-07-11,0.9,1,0.25,42136.41194611037,31628.834849326813,42136.41195611036,0.07507931293816619,3.7333333333333334,42,190,0.15573244000006525,29425.915199020514,0.0,29425.915199020514,29206.729514256207,48138.15273734866,0.0,12044.53943221977,0,0,0,7694.6987203983,8225.986402294007,1.4210854715202004e-14,9.094947017729282e-13
191,2025-07-11,0.9,2,0.5,40139.06176541162,31858.40838853992,40139.06177541163,0.16652350581215902,3.7333333333333334,42,190,0.1806315320000067,30135.55792932037,0.0,30135.55792932037,29780.928451309414,48995.046183128856,0.0,12590.140650160354,0,0,0,7694.6987203983,8554.2907759056,1.4210854715202004e-14,9.094947017729282e-13
191,2025-07-11,0.9,3,0.75,38141.71158471288,32364.68083783684,38141.7115947129,0.4361702127659571,3.7333333333333334,42,190,0.2088948570001321,31145.76334248724,0.0,31145.76334248724,30594.83509388281,50398.52613066178,0.0,13573.104500573787,0,0,0,7694.6987203983,9030.102501017709,2.842170943040401e-14,9.094947017729282e-13
191,2025-07-11,0.9,4,1.0,36144.36140401414,34695.80569141208,36144.361414014136,72.56225417275833,3.7333333333333334,42,190,0.24951458500004264,34352.36913437213,0.0,34352.36913437213,33543.61692625706,55245.073465413974,0.0,18112.566240223372,0,0,0,7694.6987203983,9655.046114159572,1.1368683772161603e-13,9.094947017729282e-13
191,2025-07-11,0.95,0,0.0,48812.767266016876,31565.679331283493,48812.767266016876,0.0,1.8666666666666687,42,190,0.0893619599999056,28833.86721099513,0.0,28833.86721099513,28714.13138701675,47230.38717078934,0.0,11368.218201512698,0,0,0,7694.6987203983,7984.928296429922,1.4210854715202004e-14,9.094947017729282e-13
191,2025-07-11,0.95,1,0.25,45747.76759686276,31687.422347538166,45747.76760686278,0.07886904761904759,1.8666666666666687,42,190,0.15065449099984107,29608.38392656198,0.0,29608.38392656198,29353.2771882877,48314.59488341965,0.0,12133.721226554735,0,0,0,7694.6987203983,8313.05601758885,1.4210854715202004e-14,9.094947017729282e-13
191,2025-07-11,0.95,2,0.5,42682.76792770863,32040.79018821562,42682.76793770863,0.14583333333333334,1.8666666666666687,42,190,0.16962750199991206,30476.967363251024,0.0,30476.967363251024,30025.80543277369,49338.14968854783,0.0,12706.026890179173,0,0,0,7694.6987203983,8788.277329150253,1.4210854715202004e-14,9.094947017729282e-13
191,2025-07-11,0.95,3,0.75,39617.76825855451,32821.60852898591,39617.76826855451,0.411203807731629,1.8666666666666687,42,190,0.20123988499994994,31748.614171529298,0.0,31748.614171529298,31122.216448174273,51256.92376322069,0.0,14286.034346458802,0,0,0,7694.6987203983,9213.034166182095,2.842170943040401e-14,9.094947017729282e-13
191,2025-07-11,0.95,4,1.0,36552.76858940039,35745.708912315626,36552.76859940039,23.829319007021105,1.8666666666666687,42,190,0.22254244000009749,35471.8213282378,0.0,35471.8213282378,34657.54394329248,57048.18870497067,0.0,20098.17341294777,0,0,0,7694.6987203983,9668.438678520526,2.842170943040401e-14,8.810729923425242e-13
192,2025-07-12,0.9,0,0.0,44900.54111301979,31652.128300018816,44900.54111301979,0.0,3.7333333333333334,42,191,0.10067144599997846,28461.769868122865,0.0,28461.769868122865,28483.18120861558,47082.11148266535,0.0,13103.325279843539,0,0,0,7919.0313038531,7867.132013674151,0.0,8.86402062860725e-13
192,2025-07-12,0.9,1,0.25,42782.83149431878,31743.925166525038,42782.831504318776,0.09022556390977442,3.7333333333333334,42,191,0.16396856400001525,29228.389087475072,0.0,29228.389087475072,29170.450597288123,48369.39581113085,0.0,14294.234988332186,0,0,0,7919.0313038531,8059.469335547828,0.0,8.952838470577262e-13
192,2025-07-12,0.9,2,0.5,40665.12187561777,32035.961061976606,40665.12188561775,0.20214342338842117,3.7333333333333334,42,191,0.19711606999999276,30168.78890664347,0.0,30168.78890664347,29981.70055204473,49751.45100141336,0.0,15486.688488017537,0,0,0,7919.0313038531,8372.517754536815,7.105427357601002e-15,8.952838470577262e-13
192,2025-07-12,0.9,3,0.75,38547.41225691677,32599.023977362172,38547.41226691675,0.40070921985815605,3.7333333333333334,42,191,0.2164129079999384,31346.626844392136,0.0,31346.626844392136,31011.395206123474,51630.77439929526,0.0,17153.024525426525,0,0,0,7919.0313038531,8731.60462580784,7.105427357601002e-15,8.952838470577262e-13
192,2025-07-12,0.9,4,1.0,36429.70263821576,34997.04701839838,36429.70264821577,994.152327930976,3.7333333333333334,42,191,0.25683526400007395,34658.42859264957,0.0,34658.42859264957,34011.41902884719,56677.17642362404,0.0,21671.815481999685,0,0,0,7919.0313038531,9487.328118887168,1.4210854715202004e-14,8.846257060213247e-13
